,citybike_index,empty_slots,free_bikes,num_parks,ave_dis_park,num_plygrd,ave_dis_plygrd,num_sr,ave_dis_sr,med_rating,med_review
175,175,2.0,2.8903717578961645,5.0,416.6,1.3862943611198906,615.3333333333334,0.6931471805599453,196.0,3.5,1.0986122886681098
176,176,6.0,2.302585092994046,3.0,801.6666666666666,0.0,,0.0,,3.75,2.833213344056216
177,177,11.0,2.1972245773362196,8.0,680.375,0.0,,0.6931471805599453,731.0,4.5,1.6094379124341003
178,178,10.0,1.791759469228055,4.0,308.75,1.0986122886681098,254.0,0.0,,4.0,2.4849066497880004
179,179,6.0,1.6094379124341003,3.0,501.3333333333333,1.0986122886681098,226.5,0.6931471805599453,614.0,4.0,2.6390573296152584
180,180,3.0,2.772588722239781,6.0,645.8333333333334,1.0986122886681098,196.0,0.6931471805599453,1090.0,4.0,0.6931471805599453
181,181,9.0,0.6931471805599453,3.0,594.3333333333334,1.0986122886681098,590.0,0.0,,4.25,2.4423470353692043
182,182,0.0,2.6390573296152584,5.0,675.2,1.0986122886681098,824.0,1.0986122886681098,512.5,3.75,3.0204248861443626
183,183,15.0,0.0,2.0,474.0,0.6931471805599453,675.0,0.0,,3.25,1.5040773967762742
184,184,15.0,2.302585092994046,3.0,451.6666666666667,0.6931471805599453,352.0,0.0,,4.0,3.044522437723423
185,185,7.0,2.0794415416798357,5.0,521.4,0.6931471805599453,734.0,0.0,,4.25,2.6741486494265287
186,186,1.0,2.8903717578961645,1.0,831.0,0.0,,0.0,,3.75,3.044522437723423
187,187,4.0,2.1972245773362196,3.0,640.0,0.0,,1.0986122886681098,758.5,3.5,2.1972245773362196
188,188,5.0,3.091042453358316,2.0,709.0,0.0,,0.0,,3.75,2.772588722239781
189,189,18.0,1.791759469228055,3.0,300.0,0.6931471805599453,660.0,0.0,,4.25,3.1354942159291497
190,190,5.0,1.9459101490553132,3.0,560.6666666666666,0.0,,1.0986122886681098,603.0,3.5,2.1972245773362196
191,191,8.0,1.9459101490553132,1.0,677.0,0.6931471805599453,589.0,0.0,,3.5,1.0986122886681098
192,192,1.0,2.3978952727983707,5.0,720.4,1.3862943611198906,591.0,1.0986122886681098,770.0,3.5,1.9459101490553132
193,193,5.0,2.3978952727983707,2.0,521.5,0.6931471805599453,594.0,0.0,,4.5,2.6390573296152584
194,194,2.0,2.3978952727983707,4.0,577.25,0.0,,0.6931471805599453,876.0,3.5,2.1972245773362196
195,195,12.0,2.1972245773362196,5.0,490.6,0.0,,0.6931471805599453,555.0,3.5,1.791759469228055
196,196,5.0,2.302585092994046,1.0,590.0,0.0,,0.0,,3.25,4.085976312551584
197,197,6.0,2.4849066497880004,2.0,540.5,0.0,,0.0,,3.5,1.791759469228055
198,198,17.0,1.3862943611198906,2.0,725.0,1.3862943611198906,440.3333333333333,0.6931471805599453,669.0,3.0,1.6094379124341003
199,199,19.0,0.6931471805599453,1.0,418.0,1.0986122886681098,456.5,0.0,,4.0,1.3862943611198906
200,200,17.0,0.6931471805599453,3.0,304.6666666666667,0.6931471805599453,119.0,0.6931471805599453,513.0,4.25,1.0986122886681098
201,201,0.0,2.4849066497880004,3.0,549.3333333333334,0.0,,0.6931471805599453,399.0,3.75,3.044522437723423
202,202,0.0,2.995732273553991,5.0,551.4,0.6931471805599453,52.0,0.6931471805599453,367.0,4.0,2.995732273553991
203,203,25.0,2.5649493574615367,1.0,809.0,0.0,,0.0,,3.75,3.044522437723423
204,204,11.0,1.6094379124341003,2.0,476.0,0.0,,0.0,,3.25,4.135166556742356
205,205,4.0,2.772588722239781,4.0,698.25,0.0,,1.3862943611198906,593.6666666666666,3.75,2.740840023925201
